Nombre,Language,Foil,Qty,Edición,Estado,Precio unitario (Jul-21),Enlace,Comentarios,Valor Total,,,
Blood Moon,EN,,3,Modern Masters,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters/Blood-Moon?sellerCountry=10,,36,Rackdos Midrange,,,,,
Pithing Needle,EN,,1,Magic 2010,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Pithing-Needle?sellerCountry=10,,2.2,Rackdos Midrange,,,,,
Pithing Needle,EN,,1,Salvadores de Kamigawa,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Saviors-of-Kamigawa/Pithing-Needle?sellerCountry=10,,2.2,Rackdos Midrange,,,,,
Nihil Spellbomb,ES,,1,Cicatrices de Mirrodin,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Nihil-Spellbomb?sellerCountry=10,,0.2,Rackdos Midrange,,,,,
Castle Locthwain,EN,,1,Throne of Eldraine,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Throne-of-Eldraine/Castle-Locthwain?sellerCountry=10,,2.5,Pool,,,,,
Bloodchief's Thirst,EN,Sí,1,El resurgir de Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Bloodchiefs-Thirst?sellerCountry=10,,0.15,Pool,,,,,
Bloodchief's Thirst,JP,,1,El resurgir de Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Bloodchiefs-Thirst?sellerCountry=10,,0.15,Pool,,,,,
Dark Confidant,EN,,1,Rávnica: Ciudad de Gremios,NM,19,https://www.cardmarket.com/es/Magic/Products/Singles/Ravnica-City-of-Guilds/Dark-Confidant?sellerCountry=10,,19,Pool,,,,,
Dark Confidant,ES,,1,Rávnica: Ciudad de Gremios,NM,19,https://www.cardmarket.com/es/Magic/Products/Singles/Ravnica-City-of-Guilds/Dark-Confidant?sellerCountry=10,,19,Pool,,,,,
Lurrus of the Dream-Den,EN,,3,Ikoria: Lair of Behemoths,NM,11.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ikoria-Lair-of-Behemoths/Lurrus-of-the-Dream-Den?sellerCountry=10,,34.5,Pool,,,,,
