Nombre,Language,Foil,Qty,Edición,Estado,Precio unitario (Jul-21),Enlace,Comentarios,Valor Total,,,
"Thrun, the Last Troll",ES,,1,Mirrodin sitiado,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Mirrodin-Besieged/Thrun-the-Last-Troll?sellerCountry=10,,2.5,Pool,,,,,
Engineered Explosives ,EN,,2,Ultimate Masters,NM,9.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ultimate-Masters/Engineered-Explosives?sellerCountry=10,,19,Pool,,,,,
Savai Triome,EN,,1,Ikoria: Lair of Behemoths,NM,6,https://www.cardmarket.com/es/Magic/Products/Singles/Ikoria-Lair-of-Behemoths/Savai-Triome?sellerCountry=10,,6,Pool,,,,,
Polluted Delta,EN,,1,Khans of Tarkir,NM,32,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Polluted-Delta?sellerCountry=10,,32,Pool,,,,,
Polluted Delta,ES,,3,Khans of Tarkir,NM,32,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Polluted-Delta?sellerCountry=10,,96,Pool,,,,,
Raging Ravine,EN,,1,Ultimate Masters,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ultimate-Masters/Raging-Ravine?sellerCountry=10,,1.5,Pool,,,,,
Verdant Catacombs,EN,,1,Modern Masters 2017,NM,32,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Verdant-Catacombs?sellerCountry=10,,32,Pool,,,,,
Verdant Catacombs,ES,,1,Zendikar,NM,30,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Verdant-Catacombs?sellerCountry=10,,30,Pool,,,,,
Wooded Foothills,ES,,1,Khans of Tarkir,NM,29,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/Wooded-Foothills?sellerCountry=10,,29,Pool,,,,,
Stomping Ground,CH,,1,Gatecrash,NM,6.5,https://www.cardmarket.com/es/Magic/Products/Singles/Gatecrash/Stomping-Ground?sellerCountry=10,,6.5,Pool,,,,,
Overgrown Tomb,EN,,1,Gremios de Rávnica,NM,6.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Overgrown-Tomb?sellerCountry=10,,6.5,Pool,,,,,
Overgrown Tomb,ES,,1,Gremios de Rávnica,NM,6.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Overgrown-Tomb?sellerCountry=10,,6.5,Pool,,,,,
Ghost Quarter,EN,,1,Innistrad,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Ghost-Quarter?sellerCountry=10,,0.4,Pool,,,,,
Nurturing Peatland,EN,,2,Horizontes de Modern,NM,9.5,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Nurturing-Peatland?sellerCountry=10,,19,Pool,,,,,
Aldea en las copas,ES,,1,Duel Decks: Knights vs. Dragons,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Duel-Decks-Knights-vs-Dragons/Treetop-Village?sellerCountry=10,,0.4,Pool,,,,,
Soul-Guide Lantern,EN,,3,Theros Beyond Death,NM,1.25,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Soul-Guide-Lantern?sellerCountry=10,,3.75,Pool,,,,,
Barren Moor,EN,,1,Horizontes de Modern,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Barren-Moor?sellerCountry=10,,0.2,Pool,,,,,
Blood Crypt,EN,,1,Discordia,EX,13.5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Blood-Crypt?sellerCountry=10,,13.5,Pool,,,,,
Death's Shadow,EN,,4,Double Masters,NM,5,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Deaths-Shadow?sellerCountry=10,,20,Pool,,,,,
Scourge of the Skyclaves,EN,,4,EL resurgir de Zendikar,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Scourge-of-the-Skyclaves?sellerCountry=10,,48,Pool,,,,,
Tarmogoyf,EN,,4,Modern Masters 2017,NM,34,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters-2017/Tarmogoyf?sellerCountry=10,,136,Pool,,,,,
Hexdrinker,EN,,4,Horizontes de Modern,NM,20,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Hexdrinker?sellerCountry=10,,80,Pool,,,,,
Cieno carroñero,EN,Sí,4,Magic 2014,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2014/Scavenging-Ooze?sellerCountry=10,,4,Pool,,,,,
Assassin's Trophy,EN,,1,Gremios de Rávnica,NM,10.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Assassins-Trophy?sellerCountry=10,,10.5,Pool,,,,,
Assassin's Trophy,ES,,1,Gremios de Rávnica,NM,10.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Assassins-Trophy?sellerCountry=10,,10.5,Pool,,,,,
Choke,ES,,2,Tempestad,EX,2,https://www.cardmarket.com/es/Magic/Products/Singles/Tempest/Choke?sellerCountry=10,,4,Pool,,,,,
Choke,EN,,1,Tempestad,EX,2,https://www.cardmarket.com/es/Magic/Products/Singles/Tempest/Choke?sellerCountry=10,,2,Pool,,,,,
Veil of Summer,ES,,2,Magic 2020,NM,8,https://www.cardmarket.com/es/Magic/Products/Singles/Core-2020/Veil-of-Summer?sellerCountry=10,,16,Pool,,,,,
Monastery Swiftspear,EN,,4,Iconic Masters,NM,2.3,https://www.cardmarket.com/es/Magic/Products/Singles/Iconic-Masters/Monastery-Swiftspear?sellerCountry=10,,9.2,Pool,,,,,
Pithing Needle,EN,,1,Vuelta a Ravnica,NM,2.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Pithing-Needle?sellerCountry=10,,2.2,Pool,,,,,
Nihil Spellbomb,ES,,1,Cicatrices de Mirrodin,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Nihil-Spellbomb?sellerCountry=10,,0.2,Pool,,,,,
Extracción Quirúrgica,ES,,1,Nueva Phyrexia,NM,17,https://www.cardmarket.com/es/Magic/Products/Singles/New-Phyrexia/Surgical-Extraction?sellerCountry=10,,17,Pool,,,,,
Stirring Wildwood,EN,,1,Worldwake,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Worldwake/Stirring-Wildwood?sellerCountry=10,,0.4,Red Box,,,,,
Overgrown Tomb,EN,,1,Gremios de Rávnica,NM,6.5,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Overgrown-Tomb?sellerCountry=10,,6.5,Red Box,,,,,
Aldea en las copas,ES,,1,El legado de Urza,LP,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Urzas-Legacy/Treetop-Village?sellerCountry=10,,0.5,Red Box,,,,,
Esfinge de los misterios,ES,,1,Magic 2020,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Core-2019/Riddlemaster-Sphinx?sellerCountry=10,,0.2,Red Box,,,,,
Blood Tribute,EN,,1,Zendikar,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Blood-Tribute?sellerCountry=10,,0.2,Red Box,,,,,
Monje Guerrero Rhox,ES,,3,Shards of Alara,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Shards-of-Alara/Rhox-War-Monk?sellerCountry=10,,0.6,Red Box,,,,,
Smoldering Marsh,EN,,1,La batalla por Zendikar,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Battle-for-Zendikar/Smoldering-Marsh?sellerCountry=10,,1,Red Box,,,,,
Castle Vantress,EN,,1,Throne of Eldraine,NM,0.75,https://www.cardmarket.com/es/Magic/Products/Singles/Throne-of-Eldraine/Castle-Vantress?sellerCountry=10,,0.75,Red Box,,,,,
Cruzado Mirrodiano,ES,Sí,1,Buy a Box Promos,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Buy-a-Box-Promos/Mirran-Crusader?sellerCountry=10&isFoil=Y,,1.5,Red Box,,,,,
Titán Solar,ES,,1,Magic 2012,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2012/Sun-Titan?sellerCountry=10,,1,Red Box,,,,,
Titán Solar,EN,,1,Magic 2011,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Sun-Titan?sellerCountry=10,,1,Red Box,,,,,
Última tentativa de Bontu,ES,,3,La hora de la devastación,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Hour-of-Devastation/Bontu-s-Last-Reckoning?sellerCountry=10,,3,Red Box,,,,,
Feast of Blood,ES,,1,Zendikar,NM ,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Feast-of-Blood?sellerCountry=10,,0.2,Red Box,,,,,
Blade of the Bloodchief ,EN,,3,Zendikar,NM,0.9,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Blade-of-the-Bloodchief?sellerCountry=10,,2.7,Red Box,,,,,
Blade of the Bloodchief ,ES,,1,Zendikar,NM,0.9,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Blade-of-the-Bloodchief?sellerCountry=10,,0.9,Red Box,,,,,
Scute Mob,EN,,1,Zendikar,NM,0.25,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Scute-Mob?sellerCountry=10,,0.25,Red Box,,,,,
Lifecrafter's Bestiary,EN,,1,La revuelta del éter,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Aether-Revolt/Lifecrafter-s-Bestiary?sellerCountry=10,,0.5,Red Box,,,,,
Waste Not,EN,,2,Magic 2015,NM,13.5,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2015/Waste-Not?sellerCountry=10,,27,Red Box,,,,,
Waste Not,ES,,2,Magic 2015,NM,13.5,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2015/Waste-Not?sellerCountry=10,,27,Red Box,,,,,
Cumbre Cráneo de Dragón,ES,,1,Magic 2011,EX,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Dragonskull-Summit?sellerCountry=10,,2.5,Red Box,,,,,
Señor sangriento de Vaasgoth,ES,,1,Prerelease Promos,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Prerelease-Promos/Bloodlord-of-Vaasgoth?sellerCountry=10,,0.4,Red Box,,,,,
Demon of Death's Gate,EN,,1,Magic 2011,NM,3,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Demon-of-Death-s-Gate?sellerCountry=10,,3,Red Box,,,,,
Consuming Vapors,EN,,4,Levantamiento de los Eldrazi,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Consuming-Vapors?sellerCountry=10,,0.8,Red Box,,,,,
Memoricidio,ES,,3,Cicatrices de Mirrodin,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Memoricide?sellerCountry=10,,0.45,Red Box,,,,,
Sadistic Sacrament,EN,,2,Zendikar,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Sadistic-Sacrament?sellerCountry=10,,1,Red Box,,,,,
Sadistic Sacrament,ES,,2,Zendikar,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Sadistic-Sacrament?sellerCountry=10,,1,Red Box,,,,,
Shrieking Affliction,EN,,1,Vuelta a Ravnica,NM,0.7,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Shrieking-Affliction?sellerCountry=10,,0.7,Red Box,,,,,
Preeminent Captain,ES,,1,Alborada,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Morningtide/Preeminent-Captain?sellerCountry=10,,0.5,Red Box,,,,,
Knight Exemplar,EN,,1,Magic 2011,NM,8,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Knight-Exemplar?sellerCountry=10,,8,Red Box,,,,,
Nyxathid,EN,,3,Conflux,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Conflux/Nyxathid?sellerCountry=10,,1.5,Red Box,,,,,
Nyxathid,ES,,1,Conflux,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Conflux/Nyxathid?sellerCountry=10,,0.5,Red Box,,,,,
Caballero blanco,EN,,1,Magic 2011,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/White-Knight?sellerCountry=10,,0.05,Red Box,,,,,
Caballero blanco,ES,,1,Magic 2011,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/White-Knight?sellerCountry=10,,0.05,Red Box,,,,,
Delirium Skeins,EN,,3,Modern Masters 2017,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters-2017/Delirium-Skeins,,0.15,Red Box,,,,,
Wrench Mind,EN,,2,Mirrodin,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Mirrodin/Wrench-Mind,,0.1,Red Box,,,,,
Deadlock Trap,EN,,1,Kaladesh,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Kaladesh/Deadlock-Trap,,0.05,Red Box,,,,,
Mobile Garrison,EN,,1,La revuelta del éter,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Aether-Revolt/Mobile-Garrison?sellerCountry=10,,0.05,Red Box,,,,,
Terastodon,EN,,1,Worldwake,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Worldwake/Terastodon?sellerCountry=10,,0.2,Red Box,,,,,
Phyrexian Negator,EN,,2,Duel Decks: Phyrexia vs. The Coalition,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Duel-Decks-Phyrexia-vs-The-Coalition/Phyrexian-Negator?sellerCountry=10,,7,Red Box,,,,,
Marca Mortal,ES,,1,Magic 2011,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Deathmark?sellerCountry=10,,0.05,Red Box,,,,,
Marca Mortal,EN,,1,Magic 2011,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Deathmark?sellerCountry=10,,0.05,Red Box,,,,,
Mind Rot,EN,,1,Magic 2013,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Mind-Rot?sellerCountry=10,,0.05,Red Box,,,,,
Báloths Impetuosos,ES,,1,Zendikar,NM,0.6,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Rampaging-Baloths?sellerCountry=10,,0.6,Red Box,,,,,
Biessence Hydra,EN,,1,La Guerra de la Chispa,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/War-of-the-Spark/Bioessence-Hydra?sellerCountry=10,,0.15,Red Box,,,,,
Cruzada,ES,,2,Duel Decks: Elspeth vs. Tezzeret,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Duel-Decks-Elspeth-vs-Tezzeret/Crusade?sellerCountry=10,,0.3,Red Box,,,,,
"Elspeth, Caballero Errante",ES,,1,Duel Decks: Elspeth vs. Tezzeret,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Duel-Decks-Elspeth-vs-Tezzeret/Elspeth-KnightErrant?sellerCountry=10,,2,Red Box,,,,,
Rhox Pikemaster,EN,,1,Magic 2010,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Rhox-Pikemaster?sellerCountry=10,,0.1,Red Box,,,,,
El honor de los puros,ES,,1,Magic 2011,NM,0.6,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Honor-of-the-Pure?sellerCountry=10,,0.6,Red Box,,,,,
Ajani's Pridemate,EN,,1,Magic 2011,NM,0.06,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Ajani-s-Pridemate?sellerCountry=10,,0.06,Red Box,,,,,
Ángel de Salvación,ES,Sí,1,Visión del Futuro,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Future-Sight/Angel-of-Salvation?sellerCountry=10&isFoil=Y,,1.5,Red Box,,,,,
Ángel de Salvación,ES,,1,Duel Decks: Elspeth vs. Tezzeret,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Duel-Decks-Elspeth-vs-Tezzeret/Angel-of-Salvation?sellerCountry=10,,0.1,Red Box,,,,,
Mikaeus the Lunarch,EN,Sí,1,Innistrad,NM,7,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Mikaeus-the-Lunarch?sellerCountry=10&isFoil=Y,,7,Red Box,,,,,
"Legion's Landing // Adanto, the First Fort",EN,,2,Ixalan,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Ixalan/Legions-Landing-Adanto-the-First-Fort?sellerCountry=10,,3,Red Box,,,,,
Dauntless Bodyguard,EN,,1,Dominaria,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Dominaria/Dauntless-Bodyguard?sellerCountry=10,,0.05,Red Box,,,,,
Adanto Vanguard,EN,,2,Ixalan,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Ixalan/Adanto-Vanguard?sellerCountry=10,,0.1,Red Box,,,,,
Conclave Tribunal,EN,,3,Gremios de Rávnica,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Guilds-of-Ravnica/Conclave-Tribunal?sellerCountry=10,,0.15,Red Box,,,,,
Pride of Conquerors,EN,,3,Rivales de Ixalan,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Rivals-of-Ixalan/Pride-of-Conquerors?sellerCountry=10,,0.15,Red Box,,,,,
Liliana Vess,EN,,1,Magic 2010,NM,5,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Liliana-Vess?sellerCountry=10,,5,Red Box,,,,,
Progenitus,EN,,1,Grand Prix Promos,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Grand-Prix-Promos/Progenitus?sellerCountry=10,,3.5,Red Box,,,,,
Primalcrux ,EN,,4,Crepúsculo,EX,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Eventide/Primalcrux?sellerCountry=10,,14,Red Box,,,,,
Predatory Urge,EN,,1,Zendikar,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Predatory-Urge?sellerCountry=10,,0.1,Red Box,,,,,
Garruk Wildspeaker,EN,,1,Commander,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Commander/Garruk-Wildspeaker?sellerCountry=10,,3.5,Red Box,,,,,
Venganza de Gaia,ES,,1,Magic 2011,NM,0.35,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Gaea-s-Revenge?sellerCountry=10,,0.35,Red Box,,,,,
"Jaya, Venerated Firemage",EN,,1,La Guerra de la Chispa,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/War-of-the-Spark/Jaya-Venerated-Firemage?sellerCountry=10,,0.05,Red Box,,,,,
Overwhelming Stampede,EN,,2,Magic 2011,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Overwhelming-Stampede?sellerCountry=10,,0.8,Red Box,,,,,
Overwhelming Stampede,ES,,2,Magic 2011,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Overwhelming-Stampede?sellerCountry=10,,0.8,Red Box,,,,,
Mitotic Slime,EN,,4,Magic 2011,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Mitotic-Slime?sellerCountry=10,,0.6,Red Box,,,,,
Trampa Invocadora,EN,,2,Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Summoning-Trap?sellerCountry=10,,0.3,Red Box,,,,,
Trampa Invocadora,ES,,2,Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Summoning-Trap?sellerCountry=10,,0.3,Red Box,,,,,
Ver lo no escrito,ES,,4,Khans of Tarkir,NM,0.35,https://www.cardmarket.com/es/Magic/Products/Singles/Khans-of-Tarkir/See-the-Unwritten?sellerCountry=10,,1.4,Red Box,,,,,
Ascetismo,EN,,1,Cicatrices de Mirrodin,NM,5.5,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Asceticism?sellerCountry=10,,5.5,Red Box,,,,,
Ascetismo,ES,,1,Cicatrices de Mirrodin,NM,5.5,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Asceticism?sellerCountry=10,,5.5,Red Box,,,,,
Hidra de Khalni,EN,,2,Levantamiento de los Eldrazi,EX,9,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Khalni-Hydra?sellerCountry=10,,18,Red Box,,,,,
Hidra de Khalni,ES,,1,Levantamiento de los Eldrazi,EX,8.5,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Khalni-Hydra?sellerCountry=10,,8.5,Red Box,,,,,
Corrosión Reptante,ES,,2,Mirrodin sitiado,NM,0.25,https://www.cardmarket.com/es/Magic/Products/Singles/Mirrodin-Besieged/Creeping-Corrosion?sellerCountry=10,,0.5,Red Box,,,,,
Lost Legacy,EN,,2,Kaladesh,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Kaladesh/Lost-Legacy?sellerCountry=10,,0.2,Red Box,,,,,
"Vraska, Relic Seeker",EN,,1,Ixalan,NM,0.95,https://www.cardmarket.com/es/Magic/Products/Singles/Ixalan/Vraska-Relic-Seeker?sellerCountry=10,,0.95,Red Box,,,,,
Hidra Proteica,ES,Sí,1,Magic 2011,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Protean-Hydra?sellerCountry=10,,2,Red Box,,,,,
Hidra Proteica,ES,,1,Magic 2011,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Protean-Hydra?sellerCountry=10,,1,Red Box,,,,,
Phyrexian Unlife,EN,,1,Nueva Phyrexia,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/New-Phyrexia/Phyrexian-Unlife?sellerCountry=10,,2.5,Red Box,,,,,
Ángel Caprichoso,ES,,1,Odisea,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Odyssey/Wayward-Angel?sellerCountry=10,,0.4,Red Box,,,,,
Alerta del explorador,ES,,1,Visión del Futuro,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Future-Sight/Scout-s-Warning?sellerCountry=10,,0.5,Red Box,,,,,
Derrota de Gideon,ES,,1,La hora de la devastación,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Hour-of-Devastation/Gideon-s-Defeat?sellerCountry=10&isFoil=Y,,0.15,Red Box,,,,,
Soberano de la Manada,ES,,1,La hora de la devastación,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Hour-of-Devastation/Pride-Sovereign?sellerCountry=10,,0.4,Red Box,,,,,
Rites of Flourishing,EN,,1,Magic 2012,NM,0.3,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2012/Rites-of-Flourishing?sellerCountry=10,,0.3,Red Box,,,,,
Essence of the Wild,EN,,1,Innistrad,NM,0.35,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Essence-of-the-Wild?sellerCountry=10,,0.35,Red Box,,,,,
Elemental de espinas,ES,Sí,1,Séptima Edición,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Seventh-Edition/Thorn-Elemental?sellerCountry=10&isFoil=Y,,0.5,Red Box,,,,,
Elemental de espinas,ES,,1,El destino de Urza,NM,0.95,https://www.cardmarket.com/es/Magic/Products/Singles/Urzas-Destiny/Thorn-Elemental?sellerCountry=10,,0.95,Red Box,,,,,
Ola de Génesis,ES,,1,Cicatrices de Mirrodin,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Genesis-Wave?sellerCountry=10,,2.5,Red Box,,,,,
Ola de Génesis,EN,,1,Cicatrices de Mirrodin,NM,3.5,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Genesis-Wave?sellerCountry=10,,3.5,Red Box,,,,,
Kalonian Behemoth,EN,,2,Magic 2010,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Kalonian-Behemoth?sellerCountry=10,,0.4,Red Box,,,,,
Archon of Redemption,EN,,1,Worldwake,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Worldwake/Archon-of-Redemption,,0.1,Red Box,,,,,
Dearly Departed,EN,,1,Innistrad,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Dearly-Departed,,0.05,Red Box,,,,,
Espectro Hipnótico,ES,,1,Novena Edición,NM,0.6,https://www.cardmarket.com/es/Magic/Products/Singles/Ninth-Edition/Hypnotic-Specter,,0.6,Red Box,,,,,
Espectro Hipnótico,EN,,2,Cuarta edición,EX,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Fourth-Edition/Hypnotic-Specter,,1,Red Box,,,,,
Kruin Outlaw / Terror of Kruin Pass,EN,,1,Innistrad,NM,0.35,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Kruin-Outlaw-Terror-of-Kruin-Pass?sellerCountry=10,,0.35,Red Box,,,,,
Carne Fresca,ES,,1,Nueva Phyrexia,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/New-Phyrexia/Fresh-Meat?sellerCountry=10,,0.15,Red Box,,,,,
Creeping Renaissance,EN,,1,Innistrad,NM,0.1,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Creeping-Renaissance?sellerCountry=10,,0.1,Red Box,,,,,
Narrador del Bosque Alma,ES,,1,Visión del Futuro,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Future-Sight/Heartwood-Storyteller?sellerCountry=10,,1.5,Red Box,,,,,
Guardabosque de Madera Torcida,ES,Sí,1,Zendikar,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/Turntimber-Ranger?sellerCountry=10,,0.5,Red Box,,,,,
Elemental de Raíz,ES,,1,Root Elemental,NM,0.05,https://www.cardmarket.com/es/Magic/Products/Singles/Scourge/Root-Elemental?sellerCountry=10,,0.05,Red Box,,,,,
Ezuri's Brigade,EN,Sí,1,Cicatrices de Mirrodin,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Scars-of-Mirrodin/Ezuri-s-Brigade?sellerCountry=10,,0.5,Red Box,,,,,
Hedron-Field Purists,EN,,1,Levantamiento de los Eldrazi,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Rise-of-the-Eldrazi/Hedron-Field-Purists?sellerCountry=10,,0.15,Red Box,,,,,
Renacimiento Pirexiano,ES,,1,Mirrodin Sitiado,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Mirrodin-Besieged/Phyrexian-Rebirth?sellerCountry=10,,0.2,Red Box,,,,,
Open the Vaults,EN,,1,Magic 2010,NM,0.75,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Open-the-Vaults?sellerCountry=10,,0.75,Red Box,,,,,
Talus Paladin,EN,,1,Worldwake,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Worldwake/Talus-Paladin?sellerCountry=10,,0.4,Red Box,,,,,
Lightwielder Paladin,EN,,1,Magic 2010,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2010/Lightwielder-Paladin?sellerCountry=10,,0.15,Red Box,,,,,
World Queller,EN,,1,Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar/World-Queller?sellerCountry=10,,0.15,Red Box,,,,,
